x,y,z
0.2,0.2,0.2
0.5184,0.48,0.48
0.540463104,0.7377408,0.7377408
0.319946631,0.667761819,0.667761819
0.475637496,0.804922538,0.804922538
0.346557357,0.630096109,0.630096109
0.500794482,0.806419006,0.806419006
0.318453456,0.616199033,0.616199033
0.498774844,0.819575676,0.819575676
0.311346025,0.601366497,0.601366497
0.502259221,0.823819657,0.823819657
0.304151357,0.594367174,0.594367174
0.501596194,0.826781362,0.826781362
0.302807874,0.590956046,0.590956046
0.502332509,0.827350736,0.827350736
0.301508968,0.589866929,0.589866929
0.502060473,0.8278275,0.8278275
0.301492684,0.589394733,0.589394733
0.502256036,0.827838516,0.827838516
0.301248553,0.589283553,0.589283553
0.502162327,0.827925914,0.827925914
0.301298554,0.589218654,0.589218654
0.502219598,0.827908832,0.827908832
0.301241725,0.58921199,0.58921199
0.502189393,0.827928982,0.827928982
0.301263643,0.589201296,0.589201296
0.5022068,0.827921329,0.827921329
0.301248149,0.589202409,0.589202409
0.502197292,0.827926797,0.827926797
0.301255682,0.589200159,0.589200159
0.502202656,0.827924154,0.827924154
0.301251113,0.589200865,0.589200865
0.502199688,0.827925763,0.827925763
0.301253535,0.589200288,0.589200288
0.502201349,0.827924912,0.827924912
0.301252143,0.589200548,0.589200548
0.502200426,0.827925401,0.827925401
0.301252905,0.589200382,0.589200382
0.502200941,0.827925134,0.827925134
0.301252476,0.589200467,0.589200467
0.502200654,0.827925285,0.827925285
0.301252713,0.589200417,0.589200417
0.502200814,0.827925201,0.827925201
0.30125258,0.589200444,0.589200444
0.502200725,0.827925248,0.827925248
0.301252654,0.589200429,0.589200429
0.502200775,0.827925222,0.827925222
0.301252613,0.589200438,0.589200437
0.502200747,0.827925236,0.827925236
0.301252636,0.589200433,0.589200433
0.502200763,0.827925228,0.827925228
0.301252623,0.589200436,0.589200435
0.502200754,0.827925233,0.827925233
0.30125263,0.589200434,0.589200434
0.502200759,0.82792523,0.82792523
0.301252626,0.589200435,0.589200435
0.502200756,0.827925232,0.827925232
0.301252628,0.589200435,0.589200434
0.502200758,0.827925231,0.827925231
0.301252627,0.589200435,0.589200434
0.502200757,0.827925231,0.827925232
0.301252628,0.589200435,0.589200433
0.502200757,0.82792523,0.827925232
0.301252627,0.589200436,0.589200433
0.502200757,0.82792523,0.827925232
0.301252628,0.589200437,0.589200432
0.502200757,0.827925229,0.827925233
0.301252628,0.589200439,0.58920043
0.502200757,0.827925228,0.827925234
0.301252628,0.589200442,0.589200427
0.502200757,0.827925226,0.827925236
0.301252628,0.589200446,0.589200423
0.502200757,0.827925223,0.827925239
