Day	nitrite	nitrate	ammonium	nitrogen	phosphorus
69	25.27	0	3.05	28.32	11.4
75	17.59	0	3.25	20.84	27.6
82	5.36	4.44	1.35	11.15	28
90	5.23	6.02	4.25	15.5	46.5
96	5	0.42	0.5	5.92	22
103	1.98	2.94	4.65	9.57	36
110	5.3	1.22	4.15	10.67	27
117	10.27	1.64	3.15	15.06	22.5
124	4.93	3.35	5.1	13.38	24
131	11.43	3.27	4.65	19.35	25
138	18.73	0	2.6	21.33	4.5
145	5.25	0.89	4.9	11.04	17.6
152	4.45	3.65	9.1	17.2	17.2
159	3.32	7.56	3.1	13.98	26
166	7	13	3.5	23.5	26.3
173	11	15	4	30	26.5
180	15.39	19.77	4.85	40.01	26.8
187	15.09	24.34	3.65	43.08	27
194	6.2	8.01	4.3	18.51	29.5
201	6.34	10.03	4.05	20.42	22
208	12.52	3.25	10.3	26.07	30
215	15	0.15	3	18.15	32
222	4.73	2.35	5	12.08	23
229	14.39	0.62	1.6	16.61	23
236	2.39	4.49	4.9	11.78	34
243	2.32	2.5	2.6	7.42	26
250	2.66	5.13	1.55	9.34	23
257	11.8	0	1.85	13.65	21
264	10.61	0	3.6	14.21	21
271	15.55	0	2.55	18.1	16.5
278	14.07	0	2.9	16.97	9.5
285	22.27	1.78	3.1	27.15	27
292	29.43	0	1.2	30.63	30.75
299	1.98	1.84	4.9	8.72	30.75
307	0.77	3.37	2.85	6.99	9.25
314	0.41	1.45	18.5	20.36	14
320	2.98	1.86	4.7	9.54	13.6
327	17.2	4.74	3.6	25.54	7.8
334	15	2.69	5.55	23.24	8.5
341	0.14	0.7	2.65	3.49	14.4
348	0.52	1.49	1.25	3.26	13.7
362	0.14	1.05	2.65	3.84	9.3
369	11.32	1.1	0.8	13.22	13.4
376	4.73	1.07	3	8.8	11.1
390	0.5	1.25	1.7	3.45	11.6
397	0.39	1.52	1.85	3.76	5
404	1.95	1.92	0.95	4.82	4.6
411	1.3	0.96	7	9.26	26.8
418	0.68	1.42	1.65	3.75	4.99
425	0.52	1.05	1.1	2.67	3.97
432	0.69	0.51	1.1	2.3	3.97
439	2.11	3.93	1	7.04	2.15
446	0.64	1.4	0.85	2.89	3.69
453	4.39	0.83	5.75	10.97	2.47
460	0.45	1.16	3.8	5.41	3.03
467	4.58	1.49	4.5	10.57	1.15
474	0.61	2.8	6.95	10.36	1.58
481	0.39	4	6.85	11.24	0.24
488	0.5	2.79	3.55	6.84	0.94
495	0.32	1.06	3.05	4.43	0.83
502	0.55	1.83	1.7	4.08	1.34
509	0.29	0.65	1.65	2.59	1.92
516	0.38	1.83	1.45	3.66	0.91
523	0.52	0.6	4.6	5.72	0.7
531	1.05	1.54	3.8	6.39	0.57
544	1.62	1.63	2.2	5.45	0.83
551	1.05	2.67	1.95	5.67	0.95
558	0.83	2.42	1.6	4.85	0.13
565	1.65	1.79	5.7	9.14	0.73
580	0.38	0.59	1.15	2.12	3.07
587	0.65	3.78	1.85	6.28	0.67
596	0.39	1.73	1.05	3.17	0.58
602	0.9	1.19	1.95	4.04	0.52
615	0.42	9.58	2.05	12.05	1
622	0.26	1.72	6.25	8.23	0.42
629	0.17	7.9	2.3	10.37	1.01
635	0.4	1.14	1.25	2.79	1.64
642	0.8	0.99	5.45	7.24	1.39
650	0.35	0.58	1.8	2.73	0.16
657	0.45	5.85	2.85	9.15	1.16
664	0.4	2.07	3.45	5.92	0.43
671	0.94	1.71	9	11.65	2.73
678	0.65	1.29	2.05	3.99	1.72
685	0.37	1.13	1.15	2.65	0.69
692	0.71	3.63	2.6	6.94	1.5
699	0.43	0.63	2	3.06	2.3
705	0.14	0.55	20.15	20.84	8.28
712	0.95	1.72	8.1	10.77	9.28
