Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7	0.027717	1.903	7.6392	NaN	0.2119	1.9949	0	0	0	1.6281
11.05	0.016979	0.90206	3.5231	NaN	0.19138	1.5954	0	0.0024277	0	1.2374
14.4	0.0064838	0.21998	0.9934	NaN	0.12611	0.46774	0	0.0041304	0	0.8791
17.75	0.013655	0.21707	0.21386	NaN	0.26168	0.037273	0	0.0014139	0	0.69641
21.1	0.010019	0.17682	0.023964	NaN	1.379	0.031183	0	0.022598	0	0.58882
24.45	0.00845	0.14371	0.011873	NaN	5.788	0.031063	0	0.013817	0	0.59297
27.8	0.032264	0.090709	0.035863	NaN	8.6431	0.025466	0	0.014954	0	0.79768
31.15	0.050344	0.075551	2.7079	NaN	11.975	0.015863	0	0.026252	0	0.90277
34.5	0.015359	0.15614	12.839	NaN	11.102	0.01287	0	0.018429	0	0.85617
37.85	0.013834	0.19938	14.349	NaN	0.29379	0.011724	0	0.0024379	0	1.1425
41.2	0.014334	0.27696	3.9391	NaN	0.11305	0.03059	0	0.00077845	0	0.90466
44.55	0.0023806	0.17425	0.057053	NaN	0.38076	0.051505	0	0.0027242	0	0.66507
47.9	2.5716e-06	0.29141	0.0019072	NaN	0.49233	0.031683	0	0.0033053	0	1.209
51.25	9.5232e-05	0.58773	0.0051144	NaN	0.4992	0.028611	0	0	0	2.0297
54.6	0.00484	0.67922	0.005288	NaN	1.0801	0.030535	0	0.0015633	0	2.1275
57.95	0.0041507	1.6808	0.019046	NaN	3.1445	0.02446	0	0.017167	0	1.6623
61.3	0	3.8284	0.17518	NaN	7.91	0.022734	0	0.01842	0	0.97992
64.65	0	9.0698	1.6429	NaN	4.3588	0.040603	0	0.00040489	0	0.94237
68	0	13.967	1.2826	NaN	0.015624	0.04956	0	0	0	1.591
71.35	0	5.4024	1.0779	NaN	0.0010741	0.062824	0	0	0	2.3023
74.7	0	1.5969	0.67295	NaN	0.046602	0.24413	0	0	0	1.9086
78.05	0.0037197	0.29636	0.42314	NaN	0.072994	0.24707	0	0	0	1.6252
81.4	0.017726	0.09256	0.30225	NaN	0.046718	0.24656	0	0.00054937	0	1.1435
84.75	0.14823	0.022418	0.31062	NaN	0.15173	0.24677	0	0.0031941	0	0.76289
88.1	0.1435	0.018823	0.40476	NaN	1.2893	0.21581	0	0.0018999	0	0.52464
91.45	0.32376	0.031979	0.43546	NaN	1.2745	0.33574	0	0.01533	0	0.70698
94.8	0.49267	0.13894	0.3032	NaN	3.0086	0.24681	0	0.021434	0	0.97026
98.15	0.28493	0.15889	0.058008	NaN	8.7562	0.21776	0	0.001506	0	1.0642
101.5	0.13236	0.39549	0.02279	NaN	10.519	0.4097	0	0	0	1.1273
104.85	0.031187	0.76525	0.049102	NaN	12.147	0.62087	0	0.0098557	0	1.0403
108.2	0.0051325	1.1924	0.059617	NaN	10.351	0.66119	0	0.008649	0	1.0259
111.55	0.00056033	1.9064	0.046316	NaN	7.0443	0.83205	0	0	0	1.2772
114.9	0.0079719	3.2885	0.018647	NaN	6.8831	3.9717	0	0	0	3.1365
118.25	0.11549	5.1405	0.040747	NaN	6.739	0.90697	0	1.6341e-05	0	1.5597
121.6	0.14535	5.4387	0.023163	NaN	2.1517	0.58168	0	0.0063859	0	1.475
124.95	0.23534	7.8927	0.0020543	NaN	0.12876	0.015751	0	0.06452	0	1.4622
128.3	0.456	11.719	0.0020513	NaN	0.0018529	0.49292	0	0.00010647	0	1.4452
131.65	0.2211	3.4936	0.0026616	NaN	0.035208	0.17328	0	0.0084274	0	1.459
135	0.09114	0.79257	0.004092	NaN	0.176	1.3794	0	0.004092	0	1.1895
138.35	0.083407	0.45855	0.0030286	NaN	0.40655	0.77394	0	0.00052797	0	0.98575
141.7	0.056146	0.39031	0.00010048	NaN	0.10084	1.9291	0	0.00038579	0	0.858
145.05	0.1629	0.36098	0	NaN	0.35026	1.7791	0	0.00085581	0	0.80338
148.4	0.086928	0.35064	0	NaN	0.21825	0.60541	0	9.2851e-05	0	0.67122
151.75	0.096503	0.18987	0	NaN	0.10939	2.4038	0	0.0037231	0	0.52473
155.1	0.025688	0.13413	0.00038907	NaN	0.091499	4.3955	0	0.001047	0	0.54243
158.45	0.026663	0.13375	0.0016059	NaN	0.052221	3.1318	0	0.00029726	0	0.6093
161.8	0.036025	0.12201	0.01037	NaN	0.065798	2.4182	0	0.00030177	0	0.60757
165.15	0.029114	0.15759	0.1115	NaN	0.058015	2.6218	0	0.0002232	0	0.54232
168.5	0.021942	0.25612	0.29671	NaN	0.001615	3.5861	0	0.0002232	0	0.47085
171.85	0.024195	0.2725	0.31799	NaN	0	5.4735	0	0.0002232	0	0.52207
175.2	0.051285	0.42322	0.49712	NaN	0	3.3417	0	0.0002232	0	0.5512
178.55	0.044441	0.39111	0.32424	NaN	0.00043043	5.5797	0	0.0022156	0	0.55767
181.9	0.040652	0.3051	0.12254	NaN	0.03673	7.7646	0	0.0032081	0	0.56264
185.25	0.047968	0.33207	0.11688	NaN	0.13136	5.5828	0	0.0016436	0	0.5646
188.6	0.015488	0.61657	0.15923	NaN	0.056133	1.7836	0	0.023	0	0.54884
191.95	0.013846	0.69039	0.22169	NaN	0.34551	4.4116	0	0.063497	0	0.52797
195.3	0.0034998	0.6467	0.32321	NaN	0.39144	5.2587	0	0.00013556	0	0.4869
198.65	0.0015667	0.44726	0.49814	NaN	0.10309	2.8871	0	0.010525	0	0.43937
202	0.00011948	0.36824	0.27936	NaN	0.09844	1.2238	0	0.027781	0	0.41333
205.35	0	0.43681	0.24115	NaN	0.086766	0.32623	0	0.0079544	0	0.35988
208.7	0	0.33025	0.23581	NaN	0.079798	11.931	0	0.028707	0	0.44361
212.05	1.6622e-07	0.30772	0.36447	NaN	0.070176	5.8426	0	0.014083	0	0.41812
215.4	0.00069641	0.27909	0.27643	NaN	0.036799	6.0711	0	0.014083	0	0.39303
218.75	0.0072952	0.10399	0.42265	0.0020003	0.054254	0.37116	0	0.0012194	0	0.40442
222.1	0.0068064	0.14424	0.36038	0.40263	0.044789	0.033019	0	0.00054889	0	0.41423
225.45	0.0034873	0.40891	0.22657	1.0857	0.012082	0.40503	0	2.9539e-05	0	0.61046
228.8	0.0047173	0.49715	0.15231	1.063	0.12914	0.28067	0	0.028178	0	0.6461
232.15	0.0032849	0.77132	0.15573	0.66242	0.11909	0.18682	0	0.014171	0	0.65649
235.5	0.0091995	0.57679	0.10597	0.12024	0.023313	5.1004	0	0.0011745	0	0.6876
238.85	0.0052565	0.31385	0.04753	0.19775	0.01691	3.5506	0	0	0	0.72631
242.2	0.0025874	0.43289	0.032964	0.13167	0.019579	0.2975	0	0	0	0.75269
245.55	0.0014735	0.47789	0.036259	0.022618	0.0051043	0.0089255	0	0.0075476	0	0.78796
248.9	0.00099722	0.46379	0.035715	0.037699	0.021543	1.2999	0	0.007727	0	0.83475
252.25	0.0013289	0.647	0.087412	0.23375	0.029398	1.9629	0	0	0	0.80326
255.6	0.014488	0.61738	0.2248	0.15381	0.0059369	0.82974	0	0.005163	0	0.70106
258.95	0.016324	0.51327	0.21633	0.076967	0.12209	0.14921	0	0.0050655	0	0.74961
262.3	0.010193	0.42066	0.16837	0.068102	0.35087	0.057705	0	0.00096623	0	0.85547
265.65	0.00666	0.40848	0.1177	0.060941	0.26159	0.045414	0	0.00086782	0	0.94178
269	0.0034782	0.38625	0.090226	0.040737	0.060149	0.022181	0	0.0052381	0	1.0408
272.35	0.00045033	0.27669	0.11636	0.0088859	0.13696	0.14426	0	0.0113	0	1.1617
275.7	0.00026096	0.34387	0.12739	0.031599	0.026172	0.22813	0	0.012493	0	1.2946
279.05	0.0014922	0.62243	0.044691	0.20245	0.12839	0.12494	0	0.00019681	0	1.3895
282.4	0.0011443	0.88481	0.019666	0.29896	0.13739	0.17806	0	0.012011	0	1.3355
285.75	0.0039566	0.63657	0.0089268	0.015564	0.085504	0.14645	0	0.062332	0	1.3021
289.1	0.0037203	0.59346	0.004092	0.22248	0.0050986	0.29635	0	0.00022373	0	0.96935
292.45	0.00934	0.6483	0.0041639	0.014905	0.010164	0.62667	0	2.0646e-05	0	0.82429
295.8	7.018e-05	0.5819	0.0061232	0.05321	0.15643	1.5548	0	0.00071657	0	0.83623
299.15	0	0.58913	0.0040825	0.0065247	0.01629	2.6419	0	0.0010188	0	0.84992
302.5	0	0.23963	0.0024656	0.020571	0.027544	0.63603	0	4.3957e-05	0	0.82205
305.85	0	0.21666	0.00023345	0.68237	0.042843	0.32344	0	0.00022158	0	0.78603
309.2	0.0050055	0.46469	0.00086081	0.1286	0.0020744	0.25651	0	0.00022216	0	0.72681
312.55	0.23186	0.59687	0.0012259	0.68857	0.0085413	0.16834	0	4.5426e-05	0	0.6941
315.9	0.12244	0.57494	0.0020026	0.44958	0.024347	0.20281	0	0	0	0.62204
319.25	0.14618	0.57209	0.0058109	0.044868	0.031448	0.27985	0	0	0	0.5679
322.6	0.047941	0.69728	0.0012716	0.030352	0.004186	0.44771	0	0	0	0.66318
325.95	0.038818	0.67564	0.0013632	0.039047	0.069086	0.44764	0	0	0	0.75507
329.3	0.0048408	0.56465	0.0019939	0.034828	0.082332	0.48542	0	0	0	0.96911
332.65	0	0.64812	0.0016393	0.060768	0.057427	1.793	0	0	0	1.2129
336	0	0.67889	0.0005115	0.135	0.0648	0.7653	0	0	0	1.133
339.35	0	0.67531	0.00098687	0.097387	0.087056	0.081919	0	0	0	1.0168
342.7	0	0.8351	0.00041604	0.039001	0.037528	0.059815	0	0	0	1.0166
346.05	0	0.63116	6.7288e-05	0.080611	0.021117	1.2175	0	0	0	1.0181
349.4	0	0.30554	0	0.18654	0.0079832	2.5099	0	0	0	1.4333
352.75	0	0.37182	0	0.33672	0.016933	1.7079	0	0	0	1.8294
356.1	0	0.56272	0	0.62457	0.030423	0.15424	0	0	0	1.4149
359.45	0	0.35766	0	0.71681	0.009276	0.35257	0	0	0	1.0699
362.8	0.00017089	0.37812	0	0.28041	0.0031916	0.0077448	0	0	0	0.83042
366.15	0.0051959	0.34542	0	1	0.0013823	0.014463	0	0	0	0.69511
369.5	0.014239	0.40342	0	0.82125	0.0059899	0.059579	0	0	0	0.89876
372.85	0	0.30568	0	0.019443	0.099397	0.5666	0	0	0	0.89361
376.2	0	0.26738	1.8743e-05	0.15699	0.12346	0.48721	0	0	0	0.88902
379.55	0.00066646	0.18104	0.0023416	0.012965	0.12809	0.14462	0	0	0	0.814
382.9	0.012912	0.31422	0.0040159	0.015994	0.30956	0.98615	0	0	0	0.76007
386.25	0.0044548	1.4419	0.0088077	0.015947	0.99075	1.0077	0	0	0	0.77984
389.6	0.028804	1.94	0.012793	0.01019	0.4203	1.9481	0	0	0	0.7959
392.95	0.031305	4.5471	0.010432	0.0064016	0.061914	1.7736	0	0	0	0.80193
396.3	0.011146	3.1595	0.010346	0.0077524	0.093219	2.0648	0	0	0	0.8055
399.65	0.0051236	3.5671	0.010249	0.0085382	0.10563	3.9231	0	0	0	1.5093
403	0.00051467	1.0244	0.006933	0.0053859	0.11156	3.9671	0	0	0	2.3147
406.35	0	0.45518	0.024973	0.0058029	0.2111	0.52927	0	0	0	1.7176
409.7	0	0.66857	0.081851	0.33026	0.44589	1.1661	0	0	0	0.7694
413.05	0	1.1691	0.62017	0.11485	0.49761	0.58222	0	0.00078022	0	0.80077
416.4	0.0020541	2.4882	1.71	0.0080988	0.36508	0.42199	0	0.0003601	0	1.117
419.75	0.012479	2.4002	1.0799	0.0042941	0.15635	0.35311	0	0	0	1.1247
423.1	0.010009	1.0467	0.72808	0.0020653	0.17179	0.35459	0	0	0	1.0068
426.45	0	0.20174	1.0338	0.0008531	0.24107	0.46997	0	0	0	0.9477
429.8	0	0.028697	0.66768	0.16428	0.19828	0.03498	0	0	0	0.91732
433.15	0	0.023457	0.20657	1.5745	1.3906	0.011494	0	5.1052e-05	0	0.75144
436.5	3.9188e-05	0.019654	0.66177	1.227	2.9213	0.0089047	0	0.0067726	0	0.61169
439.85	0.00090825	0.025749	4.3226	2.4901	0.1409	0.043758	0	0.00051001	0	1.4411
443.2	4.8032e-07	0.03296	31.51	1.6267	0.99361	0.085013	0	0	0	2.076
446.55	0.00016423	0.037889	38.204	2.2551	0.11852	0.11975	0	0	0	2.0596
449.9	0.048838	0.10621	4.1431	0.046796	0.00058232	0.15755	0	0	0	1.2207
453.25	0.10757	0.082597	2.5368	1.3962	0.0049707	0.032431	0	0.0053083	0	1.4255
456.6	0.16296	0.11195	0.79553	3.3694	0.003951	0.019703	0	0.021418	0	2.1583
459.95	0.46993	0.12052	0.18515	5.1593	0.092842	0.10623	0	0.0043032	0	1.1766
463.3	1.5842	0.47499	0.042434	3.7852	0.20902	0.089999	0	2.8026e-05	0	1.6604
466.65	0.99238	0.60893	0.011593	2.8229	1.3127	0.052927	0	0.0004786	0	1.6003
470	0.69135	1.3541	0.0091224	1.6518	2.6896	0.0076973	0	0.00044683	0	0.43895
473.35	0.66915	2.2427	0.010389	0.60819	3.7906	0	0	0.00012252	0	1.3342
476.7	0.63176	3.2646	0.011539	0.10691	3.9052	0	0	0	0	2.7139
480.05	0.34877	4.5016	0.011951	0.0043394	0.49183	0	0	0	0	2.3241
483.4	0.12237	3.9064	0.0081747	0.0038192	0.019046	0	0	0	0	2.205
486.75	0.31803	4.3996	0.0061518	0.0033692	0.057802	0	0	0	0	2.07
490.1	0.33818	3.6184	0.027129	0.0012698	0.21768	0	0	0	0	2.2074
493.45	0.2267	1.8204	0.014055	0.023002	0.023206	0	0	0	0	1.9094
496.8	0.12472	1.3199	0.0053717	0.24509	0.25922	0.027984	0	0	0	1.4402
500.15	0.1022	1.1459	0.0022374	0.368	0.19876	0.21252	0	0	0	1.2821
503.5	0.17319	1.1659	0.0061932	0.42522	0.49691	0.24278	0	0	0	1.755
506.85	0.16178	1.3925	0.033183	0.1673	0.4966	0.097381	0	0	0	2.3119
510.2	0.17075	0.86907	0.041774	0.13268	0.49618	0.033852	0	0	0	2.1742
513.55	0.16999	1.4874	0.023601	0.096172	0.50371	0.2364	0	0	0	3.2567
516.9	0.20625	3.227	0.008206	0.068462	0.4947	0.01601	0	0	0	1.5603
520.25	0.010786	2.5279	0.008345	0.030723	0.253	0.014993	0	0	0	1.6189
523.6	0.21391	2.94	0.015871	0	0.48854	0.0020645	0	0	0	1.1595
526.95	0.097675	2.6196	0.0081878	0	0.25156	0.0038504	0	0	0	1.0195
530.3	0.025577	2.5818	0.0081512	0	0.126	0.0056277	0	0	0	0.835
533.65	0.071244	1.9006	0.0061823	0	0.24504	0.0076268	0	0	0	0.76701
