Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	nitrite	nitrate	ammonium	nitrogen	phosphorus	
6	0	2.0261	10.191	NaN	0.2119	2.0046	0	0	0	1.9665	NaN	NaN	NaN	NaN	NaN
13	0	0.26384	1.8005	NaN	0.1568	0.98586	0	0.00468	0	1.07	NaN	NaN	NaN	NaN	NaN
19	0.01268	0.22716	0.12611	NaN	0.49997	0.031493	0	0.0007905	0	0.681	NaN	NaN	NaN	NaN	NaN
26	0.00828	0.13398	0.015731	NaN	7.8811	0.031005	0	0.0063972	0	0.628	NaN	NaN	NaN	NaN	NaN
33	0.01875	0.14753	9.6909	NaN	15.875	0.014693	0	0.024939	0	0.716	NaN	NaN	NaN	NaN	NaN
40	0.01704	0.30617	6.6111	NaN	0.0616	0.02099	0	0.000372	0	1.021	NaN	NaN	NaN	NaN	NaN
48	0	0.29624	0.00186	NaN	0.49256	0.031493	0	0.003306	0	1.228	NaN	NaN	NaN	NaN	NaN
54	0.00484	0.6267	0.0050827	NaN	0.94336	0.031004	0	0	0	2.145	NaN	NaN	NaN	NaN	NaN
61	0	3.5531	0.13557	NaN	7.9505	0.022489	0	0.01872	0	0.986	NaN	NaN	NaN	NaN	NaN
68	0	13.967	1.2826	NaN	0.015624	0.04956	0	0	0	1.591	NaN	NaN	NaN	NaN	NaN
75	0	1.4317	0.64549	NaN	0.049558	0.24707	0	0	0	1.877	17.59	0	3.25	20.84	27.6
83	0.034426	0.060679	0.28134	NaN	0.031249	0.24628	0	0.0012834	0	0.909	5.36	4.44	1.35	11.15	28
90	0.085907	0.02948	0.43825	NaN	1.9765	0.18891	0	0	0	0.45	5.23	6.02	4.25	15.5	46.5
96	0.40362	0.19351	0.1969	NaN	5.3748	0.11035	0	0.012176	0	0.959	5	0.42	0.5	5.92	22
103	0.080848	0.59697	0.020856	NaN	11.016	0.49233	0	0	0	1.133	1.98	2.94	4.65	9.57	36
111	0.00040678	1.7558	0.049564	NaN	7.0936	0.66119	0	0	0	1.15	5.3	1.22	4.15	10.67	27
118	0.11246	5.1156	0.04092	NaN	6.8124	0.9453	0	0	0	1.574	10.27	1.64	3.15	15.06	22.5
125	0.23725	7.9372	0.002046	NaN	0.12451	0.015517	0	0.064548	0	1.462	4.93	3.35	5.1	13.38	24
133	0.14004	1.3103	0.003069	NaN	0.061768	0.10254	0	0.010269	0	1.462	11.43	3.27	4.65	19.35	25
140	0.078755	0.39937	0.002046	NaN	0.4576	0.56689	0	0	0	0.917	18.73	0	2.6	21.33	4.5
146	0.18084	0.35545	0	NaN	0.39552	1.6392	0	0.0008928	0	0.784	5.25	0.89	4.9	11.04	17.6
153	0.10269	0.14019	0	NaN	0.096	3.3659	0	0.0048474	0	0.503	4.45	3.65	9.1	17.2	17.2
160	0.037796	0.1339	0.00279	NaN	0.035824	2.4164	0	0.0004464	0	0.623	3.32	7.56	3.1	13.98	26
9	0.03528	1.7101	5.9374	NaN	0.2119	1.9765	0	0	0	1.432	NaN	NaN	NaN	NaN	NaN
16	0.014406	0.20033	0.42966	NaN	0.10254	0.062985	0	0.002964	0	0.719	NaN	NaN	NaN	NaN	NaN
22	0.00924	0.15752	0.009372	NaN	1.9765	0.031127	0	0.028607	0	0.568	NaN	NaN	NaN	NaN	NaN
30	0.06468	0.04416	0.11149	NaN	9.592	0.016845	0	0.02652	0	0.994	NaN	NaN	NaN	NaN	NaN
37	0.013056	0.16821	15.764	NaN	0.49477	0.010495	0	0.0039672	0	1.159	NaN	NaN	NaN	NaN	NaN
44	0.00305	0.17094	0.075825	NaN	0.35451	0.052483	0	0.0025742	0	0.6475	NaN	NaN	NaN	NaN	NaN
51	0	0.58197	0.005115	NaN	0.49414	0.028563	0	0	0	2.011	NaN	NaN	NaN	NaN	NaN
57	0.00484	1.3256	0.009599	NaN	1.9921	0.025488	0	0.016137	0	1.855	NaN	NaN	NaN	NaN	NaN
65	0	9.6097	1.6745	NaN	3.9391	0.04198	0	0	0	0.942	NaN	NaN	NaN	NaN	NaN
71	0	5.9589	1.1077	NaN	0.00024319	0.057345	0	0	0	2.309	NaN	NaN	NaN	NaN	NaN
79	0.0059151	0.17329	0.37997	NaN	0.075194	0.24707	0	0	0	1.531	NaN	NaN	NaN	NaN	NaN
86	0.21042	0.0095666	0.34329	NaN	0.33088	0.24707	0	0.0041076	0	0.679	NaN	NaN	NaN	NaN	NaN
93	0.58664	0.035382	0.42688	NaN	0.49875	0.49802	0	0.032274	0	0.991	NaN	NaN	NaN	NaN	NaN
99	0.24314	0.15048	0.03432	NaN	9.5745	0.27342	0	0	0	1.098	NaN	NaN	NaN	NaN	NaN
106	0.014782	0.88447	0.0629	NaN	12.528	0.66119	0	0.01467	0	0.995	NaN	NaN	NaN	NaN	NaN
115	0.00836	3.3363	0.0186	NaN	6.88	3.9778	0	0	0	3.14	NaN	NaN	NaN	NaN	NaN
121	0.13697	5.2996	0.02697	NaN	2.6874	0.67168	0	0.002046	0	1.479	NaN	NaN	NaN	NaN	NaN
128	0.45874	11.821	0.002046	NaN	0.0016	0.49701	0	0	0	1.445	NaN	NaN	NaN	NaN	NaN
135	0.09114	0.79257	0.004092	NaN	0.176	1.3794	0	0.004092	0	1.1895	NaN	NaN	NaN	NaN	NaN
142	0.054868	0.38862	0	NaN	0.07776	2.0172	0	0.0004464	0	0.8505	NaN	NaN	NaN	NaN	NaN
149	0.076028	0.34867	0	NaN	0.18304	0.5021	0	0	0	0.6435	NaN	NaN	NaN	NaN	NaN
156	0.004474	0.13345	0.0006696	NaN	0.089088	4.5576	0	0	0	0.563	NaN	NaN	NaN	NaN	NaN
163	0.034056	0.11555	0.02046	NaN	0.08208	2.4211	0	0.0002232	0	0.59	7	13	3.5	23.5	26.3
169	0.021758	0.25894	0.30188	NaN	0	3.784	0	0.0002232	0	0.469	NaN	NaN	NaN	NaN	NaN
176	0.05346	0.43532	0.5115	NaN	0	3.1705	0	0.0002232	0	0.554	NaN	NaN	NaN	NaN	NaN
184	0.057728	0.27174	0.11102	NaN	0.16192	7.1039	0	0	0	0.567	NaN	NaN	NaN	NaN	NaN
191	0.015378	0.69284	0.20194	NaN	0.3132	3.954	0	0.074043	0	0.536	NaN	NaN	NaN	NaN	NaN
198	0.001892	0.46838	0.50982	NaN	0.10512	3.2555	0	0.0079437	0	0.446	NaN	NaN	NaN	NaN	NaN
205	0	0.43899	0.24193	NaN	0.08776	0.065407	0	0.007488	0	0.358	NaN	NaN	NaN	NaN	NaN
212	0	0.30808	0.36452	NaN	0.0704	5.8425	0	0.014083	0	0.4185	NaN	NaN	NaN	NaN	NaN
219	0.007414	0.10098	0.4257	0.002	0.054641	0.23343	0	0.0009114	0	0.4055	NaN	NaN	NaN	NaN	NaN
226	0.003234	0.44365	0.20948	1.122	0.0098776	0.44216	0	0	0	0.632	NaN	NaN	NaN	NaN	NaN
233	0.002838	0.82292	0.15853	0.51115	0.096332	0.18282	0	0.0071883	0	0.66	NaN	NaN	NaN	NaN	NaN
240	0.001892	0.28873	0.039666	0.288	0.024576	1.3038	0	0	0	0.737	NaN	NaN	NaN	NaN	NaN
247	0	0.4221	0.041118	0.032	0.000672	0.024509	0	0.014377	0	0.809	NaN	NaN	NaN	NaN	NaN
253	0.000946	0.67678	0.13042	0.3175	0.019072	1.4434	0	0	0	0.769	NaN	NaN	NaN	NaN	NaN
260	0.013915	0.48427	0.1964	0.07425	0.20421	0.044406	0	0.0035942	0	0.793	NaN	NaN	NaN	NaN	NaN
268	0.00484	0.42754	0.087351	0.055	0.017842	0.010123	0	0.0036675	0	1.007	NaN	NaN	NaN	NaN	NaN
275	0	0.32521	0.13606	0.022	0.014624	0.24845	0	0.014377	0	1.258	NaN	NaN	NaN	NaN	NaN
281	0.000473	0.93466	0.026598	0.3666	0.14375	0.18561	0	0	0	1.349	NaN	NaN	NaN	NaN	NaN
288	0.002365	0.58044	0.004092	0.27	0.005408	0.23175	0	0.0004557	0	1.0605	NaN	NaN	NaN	NaN	NaN
296	0	0.5814	0.006138	0.0535	0.15754	1.6156	0	0.000744	0	0.837	NaN	NaN	NaN	NaN	NaN
303	0	0.22242	0.0021948	0.025	0.029584	0.50312	0	0	0	0.817	NaN	NaN	NaN	NaN	NaN
309	0.0033	0.45521	0.0008308	0.1253	0.002048	0.26077	0	0.0002232	0	0.7295	NaN	NaN	NaN	NaN	NaN
316	0.12122	0.57452	0.002046	0.434	0.024672	0.2055	0	0	0	0.62	NaN	NaN	NaN	NaN	NaN
323	0.04202	0.70368	0.001023	0.0315	0.0027769	0.45351	0	0	0	0.6785	NaN	NaN	NaN	NaN	NaN
330	0	0.55235	0.002046	0.034	0.08208	0.5102	0	0	0	1.023	NaN	NaN	NaN	NaN	NaN
336	0	0.67889	0.0005115	0.135	0.0648	0.7653	0	0	0	1.133	NaN	NaN	NaN	NaN	NaN
342	0	0.84358	0.0005115	0.0375	0.0432	0.0078124	0	0	0	1.016	NaN	NaN	NaN	NaN	NaN
348	0	0.46867	0	0.123	0.014221	1.9844	0	0	0	1.02	0.52	1.49	1.25	3.26	13.7
355	0	0.65836	0	0.432	0.036	0.0027006	0	0	0	1.5565	NaN	NaN	NaN	NaN	NaN
362	0	0.38846	0	0.1254	0.0038909	0.0068661	0	0	0	0.91	0.14	1.05	2.65	3.84	9.3
369	0.015378	0.40901	0	0.9055	0.00048637	0.017822	0	0	0	0.899	11.32	1.1	0.8	13.22	13.4
376	0	0.27156	0	0.15885	0.12346	0.49804	0	0	0	0.89	4.73	1.07	3	8.8	11.1
383	0.012936	0.3209	0.004092	0.016	0.31776	0.98824	0	0	0	0.76	NaN	NaN	NaN	NaN	NaN
390	0.02981	2.0415	0.01287	0.0096	0.36317	1.9754	0	0	0	0.797	0.5	1.25	1.7	3.45	11.6
397	0.00836	3.0368	0.010329	0.008	0.098143	2.1848	0	0	0	0.807	0.39	1.52	1.85	3.76	5
404	0	0.52105	0.006336	0.0048	0.11475	3.9531	0	0	0	2.396	1.95	1.92	0.95	4.82	4.6
411	0	0.84094	0.12896	0.4368	0.49414	1.5306	0	0	0	0.622	1.3	0.96	7	9.26	26.8
418	0.00484	2.9486	1.9853	0.0064	0.24901	0.49525	0	0	0	1.185	0.68	1.42	1.65	3.75	4.99
426	0	0.2518	1.0435	0.001	0.2486	0.49623	0	0	0	0.951	0.52	1.05	1.1	2.67	3.97
433	0	0.023705	0.20559	1.5775	1.324	0.011822	0	0	0	0.7595	0.69	0.51	1.1	2.3	3.97
440	0.000912	0.026038	4.6024	2.4956	0.12889	0.045409	0	0.0004464	0	1.474	2.11	3.93	1	7.04	2.15
447	0.0002107	0.039165	38.323	2.2781	0.071287	0.12451	0	0	0	2.055	0.64	1.4	0.85	2.89	3.69
454	0.12079	0.080175	2.2436	1.8123	0.0054268	0.019703	0	0.007335	0	1.508	4.39	0.83	5.75	10.97	2.47
461	0.64897	0.12398	0.11128	5.358	0.13527	0.12402	0	0.000465	0	0.969	0.45	1.16	3.8	5.41	3.03
468	0.71776	0.65085	0.008184	2.527	1.9759	0.039406	0	0.000651	0	1.417	4.58	1.49	4.5	10.57	1.15
476	0.64853	2.8586	0.011176	0.1615	4.2991	0	0	0	0	2.762	0.61	2.8	6.95	10.36	1.58
482	0.081268	3.7886	0.009405	0.004	0.015503	0	0	0	0	2.269	0.39	4	6.85	11.24	0.24
489	0.35002	4.0413	0.028622	0	0.24628	0	0	0	0	2.235	NaN	NaN	NaN	NaN	NaN
496	0.14655	1.4106	0.007161	0.2055	0.28798	0	0	0	0	1.55	NaN	NaN	NaN	NaN	NaN
