Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	
6	0	2.0261	10.191	NaN	0.2119	2.0046	0	0	0	1.9665
9	0.03528	1.7101	5.9374	NaN	0.2119	1.9765	0	0	0	1.432
13	0	0.26384	1.8005	NaN	0.1568	0.98586	0	0.00468	0	1.07
16	0.014406	0.20033	0.42966	NaN	0.10254	0.062985	0	0.002964	0	0.719
19	0.01268	0.22716	0.12611	NaN	0.49997	0.031493	0	0.0007905	0	0.681
22	0.00924	0.15752	0.009372	NaN	1.9765	0.031127	0	0.028607	0	0.568
26	0.00828	0.13398	0.015731	NaN	7.8811	0.031005	0	0.0063972	0	0.628
30	0.06468	0.04416	0.11149	NaN	9.592	0.016845	0	0.02652	0	0.994
33	0.01875	0.14753	9.6909	NaN	15.875	0.014693	0	0.024939	0	0.716
37	0.013056	0.16821	15.764	NaN	0.49477	0.010495	0	0.0039672	0	1.159
40	0.01704	0.30617	6.6111	NaN	0.0616	0.02099	0	0.000372	0	1.021
44	0.00305	0.17094	0.075825	NaN	0.35451	0.052483	0	0.0025742	0	0.6475
48	0	0.29624	0.00186	NaN	0.49256	0.031493	0	0.003306	0	1.228
51	0	0.58197	0.005115	NaN	0.49414	0.028563	0	0	0	2.011
54	0.00484	0.6267	0.0050827	NaN	0.94336	0.031004	0	0	0	2.145
57	0.00484	1.3256	0.009599	NaN	1.9921	0.025488	0	0.016137	0	1.855
61	0	3.5531	0.13557	NaN	7.9505	0.022489	0	0.01872	0	0.986
65	0	9.6097	1.6745	NaN	3.9391	0.04198	0	0	0	0.942
68	0	13.967	1.2826	NaN	0.015624	0.04956	0	0	0	1.591
71	0	5.9589	1.1077	NaN	0.00024319	0.057345	0	0	0	2.309
75	0	1.4317	0.64549	NaN	0.049558	0.24707	0	0	0	1.877
79	0.0059151	0.17329	0.37997	NaN	0.075194	0.24707	0	0	0	1.531
83	0.034426	0.060679	0.28134	NaN	0.031249	0.24628	0	0.0012834	0	0.909
86	0.21042	0.0095666	0.34329	NaN	0.33088	0.24707	0	0.0041076	0	0.679
90	0.085907	0.02948	0.43825	NaN	1.9765	0.18891	0	0	0	0.45
93	0.58664	0.035382	0.42688	NaN	0.49875	0.49802	0	0.032274	0	0.991
96	0.40362	0.19351	0.1969	NaN	5.3748	0.11035	0	0.012176	0	0.959
99	0.24314	0.15048	0.03432	NaN	9.5745	0.27342	0	0	0	1.098
103	0.080848	0.59697	0.020856	NaN	11.016	0.49233	0	0	0	1.133
106	0.014782	0.88447	0.0629	NaN	12.528	0.66119	0	0.01467	0	0.995
111	0.00040678	1.7558	0.049564	NaN	7.0936	0.66119	0	0	0	1.15
115	0.00836	3.3363	0.0186	NaN	6.88	3.9778	0	0	0	3.14
118	0.11246	5.1156	0.04092	NaN	6.8124	0.9453	0	0	0	1.574
121	0.13697	5.2996	0.02697	NaN	2.6874	0.67168	0	0.002046	0	1.479
125	0.23725	7.9372	0.002046	NaN	0.12451	0.015517	0	0.064548	0	1.462
128	0.45874	11.821	0.002046	NaN	0.0016	0.49701	0	0	0	1.445
133	0.14004	1.3103	0.003069	NaN	0.061768	0.10254	0	0.010269	0	1.462
135	0.09114	0.79257	0.004092	NaN	0.176	1.3794	0	0.004092	0	1.1895
140	0.078755	0.39937	0.002046	NaN	0.4576	0.56689	0	0	0	0.917
142	0.054868	0.38862	0	NaN	0.07776	2.0172	0	0.0004464	0	0.8505
146	0.18084	0.35545	0	NaN	0.39552	1.6392	0	0.0008928	0	0.784
149	0.076028	0.34867	0	NaN	0.18304	0.5021	0	0	0	0.6435
153	0.10269	0.14019	0	NaN	0.096	3.3659	0	0.0048474	0	0.503
156	0.004474	0.13345	0.0006696	NaN	0.089088	4.5576	0	0	0	0.563
160	0.037796	0.1339	0.00279	NaN	0.035824	2.4164	0	0.0004464	0	0.623
163	0.034056	0.11555	0.02046	NaN	0.08208	2.4211	0	0.0002232	0	0.59
169	0.021758	0.25894	0.30188	NaN	0	3.784	0	0.0002232	0	0.469
171	0.021758	0.25894	0.30188	NaN	0	5.6653	0	0.0002232	0	0.5115
176	0.05346	0.43532	0.5115	NaN	0	3.1705	0	0.0002232	0	0.554
181	0.035948	0.32528	0.13265	NaN	0.0018	7.8485	0	0.004092	0	0.5605
184	0.057728	0.27174	0.11102	NaN	0.16192	7.1039	0	0	0	0.567
188	0.015532	0.58722	0.15101	NaN	0.030176	1.5832	0	0.014377	0	0.5515
191	0.015378	0.69284	0.20194	NaN	0.3132	3.954	0	0.074043	0	0.536
195	0.003784	0.65516	0.30812	NaN	0.39958	5.3004	0	0	0	0.491
198	0.001892	0.46838	0.50982	NaN	0.10512	3.2555	0	0.0079437	0	0.446
203	0	0.3625	0.24862	NaN	0.09644	0.79769	0	0.029509	0	0.402
205	0	0.43899	0.24193	NaN	0.08776	0.065407	0	0.007488	0	0.358
209	0	0.32598	0.23575	NaN	0.07908	12.124	0	0.029053	0	0.445
212	0	0.30808	0.36452	NaN	0.0704	5.8425	0	0.014083	0	0.4185
216	0.000946	0.27004	0.27073	0.00259	0.034972	6.0859	0	0.014083	0	0.392
219	0.007414	0.10098	0.4257	0.002	0.054641	0.23343	0	0.0009114	0	0.4055
223	0.006468	0.16907	0.33198	0.562	0.039911	0.022676	0	0.0004557	0	0.419
226	0.003234	0.44365	0.20948	1.122	0.0098776	0.44216	0	0	0	0.632
230	0.005126	0.52732	0.14421	1.0093	0.16199	0.22108	0	0.035942	0	0.65
233	0.002838	0.82292	0.15853	0.51115	0.096332	0.18282	0	0.0071883	0	0.66
237	0.012144	0.41323	0.06996	0.013	0.001216	7.3766	0	0	0	0.707
240	0.001892	0.28873	0.039666	0.288	0.024576	1.3038	0	0	0	0.737
244	0.003102	0.53956	0.030888	0.016	0.012624	0.0028348	0	0	0	0.767
247	0	0.4221	0.041118	0.032	0.000672	0.024509	0	0.014377	0	0.809
251	0.002156	0.5579	0.029436	0.048	0.045795	2.7664	0	0	0	0.851
253	0.000946	0.67678	0.13042	0.3175	0.019072	1.4434	0	0	0	0.769
257	0.0198	0.57127	0.24509	0.0845	0.003616	0.58147	0	0.0071883	0	0.687
260	0.013915	0.48427	0.1964	0.07425	0.20421	0.044406	0	0.0035942	0	0.793
264	0.00803	0.39727	0.14771	0.064	0.4048	0.066149	0	0	0	0.899
268	0.00484	0.42754	0.087351	0.055	0.017842	0.010123	0	0.0036675	0	1.007
271	0.000946	0.26826	0.10402	0.007	0.18102	0.082451	0	0.0089487	0	1.115
275	0	0.32521	0.13606	0.022	0.014624	0.24845	0	0.014377	0	1.258
278	0.001892	0.45734	0.059334	0.1109	0.11264	0.10114	0	0.0004557	0	1.401
281	0.000473	0.93466	0.026598	0.3666	0.14375	0.18561	0	0	0	1.349
286	0.003982	0.62716	0.008283	0.013	0.080448	0.14616	0	0.062788	0	1.297
288	0.002365	0.58044	0.004092	0.27	0.005408	0.23175	0	0.0004557	0	1.0605
292	0.00968	0.65073	0.004092	0.0135	0.0048	0.55882	0	0	0	0.824
296	0	0.5814	0.006138	0.0535	0.15754	1.6156	0	0.000744	0	0.837
299	0	0.59062	0.0041664	0.0065	0.016256	2.6502	0	0.001023	0	0.85
303	0	0.22242	0.0021948	0.025	0.029584	0.50312	0	0	0	0.817
306	0	0.21665	0.0002232	0.6871	0.042912	0.31888	0	0.0002232	0	0.784
309	0.0033	0.45521	0.0008308	0.1253	0.002048	0.26077	0	0.0002232	0	0.7295
314	0.28952	0.61532	0.0014384	0.8325	0.01336	0.15235	0	0	0	0.675
316	0.12122	0.57452	0.002046	0.434	0.024672	0.2055	0	0	0	0.62
320	0.14872	0.57201	0.006138	0.023	0.031776	0.30234	0	0	0	0.565
323	0.04202	0.70368	0.001023	0.0315	0.0027769	0.45351	0	0	0	0.6785
327	0.03718	0.65765	0.0015345	0.04	0.08272	0.44643	0	0	0	0.792
330	0	0.55235	0.002046	0.034	0.08208	0.5102	0	0	0	1.023
334	0	0.68262	0.0012787	0.0845	0.04871	2.2392	0	0	0	1.254
336	0	0.67889	0.0005115	0.135	0.0648	0.7653	0	0	0	1.133
340	0	0.67516	0.001023	0.08625	0.088093	0.044541	0	0	0	1.012
342	0	0.84358	0.0005115	0.0375	0.0432	0.0078124	0	0	0	1.016
348	0	0.46867	0	0.123	0.014221	1.9844	0	0	0	1.02
351	0	0.17538	0	0.2775	0.0038604	2.877	0	0	0	1.937
355	0	0.65836	0	0.432	0.036	0.0027006	0	0	0	1.5565
358	0	0.34453	0	0.969	0.0144	0.49998	0	0	0	1.176
362	0	0.38846	0	0.1254	0.0038909	0.0068661	0	0	0	0.91
365	0.001892	0.32948	0	1.0091	0.0019531	0.013224	0	0	0	0.644
369	0.015378	0.40901	0	0.9055	0.00048637	0.017822	0	0	0	0.899
372	0	0.31759	0	0.0011	0.087891	0.57031	0	0	0	0.8945
376	0	0.27156	0	0.15885	0.12346	0.49804	0	0	0	0.89
379	0	0.17808	0.002046	0.0128	0.12346	0.099115	0	0	0	0.825
383	0.012936	0.3209	0.004092	0.016	0.31776	0.98824	0	0	0	0.76
386	0.00418	1.3887	0.008481	0.016	0.99608	0.99565	0	0	0	0.7785
390	0.02981	2.0415	0.01287	0.0096	0.36317	1.9754	0	0	0	0.797
